ts,status,currentCoord,speed,orientation
0,1,"[2.0, 1.25]",0,N
0.05,1,"[2.0, 1.25]",0,N
0.1,1,"[2.0, 1.25]",0,N
0.15,1,"[2.0, 1.25]",0,N
0.2,1,"[2.0, 1.25]",0,N
0.25,1,"[2.0, 1.25]",0,N
0.3,1,"[2.0, 1.25]",0,N
0.35,1,"[2.0, 1.25]",0,N
0.4,1,"[2.0, 1.25]",0,N
0.45,1,"[2.0, 1.25]",0,N
0.5,1,"[2.0, 1.25]",0,N
0.55,1,"[2.0, 1.25]",0,N
0.6,1,"[2.0, 1.25]",0,N
0.65,1,"[2.0, 1.25]",0,N
0.7,1,"[2.0, 1.25]",0,N
0.75,1,"[2.0, 1.25]",0,N
0.8,1,"[2.0, 1.25]",0,N
0.85,1,"[2.0, 1.25]",0,N
0.9,1,"[2.0, 1.25]",0,N
0.95,1,"[2.0, 1.25]",0,N
1.0,1,"[2.0, 1.25]",0,N
1.05,1,"[2.0, 1.25]",0,N
1.1,1,"[2.0, 1.25]",0,N
1.15,1,"[2.0, 1.25]",0,N
1.2,1,"[2.0, 1.25]",0,N
1.25,1,"[2.0, 1.25]",0,N
1.3,1,"[2.0, 1.25]",0,N
1.35,1,"[2.0, 1.25]",0,N
1.4,1,"[2.0, 1.25]",0,N
1.45,1,"[2.0, 1.25]",0,N
1.5,1,"[2.0, 1.25]",0,N
1.55,1,"[2.0, 1.25]",0,N
1.6,1,"[2.0, 1.25]",0,N
1.65,1,"[2.0, 1.25]",0,N
1.7,1,"[2.0, 1.25]",0,N
1.75,1,"[2.0, 1.25]",0,N
1.8,1,"[2.0, 1.25]",0,N
1.85,1,"[2.0, 1.25]",0,N
1.9,1,"[2.0, 1.25]",0,N
1.95,1,"[2.0, 1.25]",0,N
2.0,1,"[2.0, 1.25]",0,N
2.05,1,"[2.0, 1.25]",0,N
2.1,1,"[2.0, 1.25]",0,N
2.15,1,"[2.0, 1.25]",0,N
2.2,1,"[2.0, 1.25]",0,N
2.25,1,"[2.0, 1.25]",0,N
2.3,1,"[2.0, 1.25]",0,N
2.35,1,"[2.0, 1.25]",0,N
2.4,1,"[2.0, 1.25]",0,N
2.45,1,"[2.0, 1.25]",0,N
2.5,1,"[2.0, 1.25]",0,N
2.55,1,"[2.0, 1.25]",0,N
2.6,1,"[2.0, 1.25]",0,N
2.65,1,"[2.0, 1.25]",0,N
2.7,1,"[2.0, 1.25]",0,N
2.75,1,"[2.0, 1.25]",0,N
2.8,1,"[2.0, 1.25]",0,N
2.85,1,"[2.0, 1.25]",0,N
2.9,1,"[2.0, 1.25]",0,N
2.95,1,"[2.0, 1.25]",0,N
3.0,1,"[2.0, 1.25]",0,N
3.05,2,"[2.0, 1.25]",0,N
3.1,3,"[2.0, 1.25]",0,N
3.15,4,"[2.0, 1.25]",0,N
3.2,4,"[2.0, 1.25]",0,N
3.25,4,"[2.0, 1.25]",0,N
3.3,4,"[2.0, 1.25]",0,N
3.35,4,"[2.0, 1.25]",0,N
3.4,4,"[2.0, 1.25]",0,N
3.45,4,"[2.0, 1.25]",0,N
3.5,4,"[2.0, 1.25]",0,N
3.55,4,"[2.0, 1.25]",0,N
3.6,4,"[2.0, 1.25]",0,N
3.65,4,"[2.00375, 1.25]",0.075,E
3.7,4,"[2.01125, 1.25]",0.15,E
3.75,4,"[2.0225, 1.25]",0.225,E
3.8,4,"[2.0375, 1.25]",0.3,E
3.85,4,"[2.05625, 1.25]",0.375,E
3.9,4,"[2.07875, 1.25]",0.45,E
3.95,4,"[2.105, 1.25]",0.525,E
4.0,4,"[2.135, 1.25]",0.6,E
4.05,4,"[2.16125, 1.25]",0.525,E
4.1,4,"[2.18375, 1.25]",0.45,E
4.15,4,"[2.2024999999999997, 1.25]",0.375,E
4.2,4,"[2.2175, 1.25]",0.3,E
4.25,4,"[2.22875, 1.25]",0.225,E
4.3,4,"[2.25, 1.25]",0,E
4.35,4,"[2.25, 1.25]",0,E
4.4,4,"[2.25, 1.25]",0,E
4.45,4,"[2.25, 1.25]",0,E
4.5,4,"[2.25, 1.25]",0,E
4.55,4,"[2.25, 1.25]",0,E
4.6,4,"[2.25, 1.25]",0,E
4.65,4,"[2.25, 1.25]",0,E
4.7,4,"[2.25, 1.25]",0,E
4.75,4,"[2.25, 1.25]",0,E
4.8,4,"[2.25, 1.25]",0,E
4.85,4,"[2.25, 1.25]",0,S
4.9,4,"[2.25, 1.24625]",0.075,S
4.95,4,"[2.25, 1.23875]",0.15,S
5.0,4,"[2.25, 1.2275]",0.225,S
5.05,4,"[2.25, 1.2125000000000001]",0.3,S
5.1,4,"[2.25, 1.19375]",0.375,S
5.15,4,"[2.25, 1.1712500000000001]",0.45,S
5.2,4,"[2.25, 1.145]",0.525,S
5.25,4,"[2.25, 1.115]",0.6,S
5.3,4,"[2.25, 1.08125]",0.675,S
5.35,4,"[2.25, 1.04375]",0.75,S
5.4,4,"[2.25, 1.0]",0.825,S
5.45,4,"[2.25, 0.9625]",0.75,S
5.5,4,"[2.25, 0.92875]",0.675,S
5.55,4,"[2.25, 0.89125]",0.75,S
5.6,4,"[2.25, 0.8574999999999999]",0.675,S
5.65,4,"[2.25, 0.8274999999999999]",0.6,S
5.7,4,"[2.25, 0.8012499999999999]",0.525,S
5.75,4,"[2.25, 0.7787499999999999]",0.45,S
5.8,4,"[2.25, 0.75]",0,S
5.85,4,"[2.25, 0.75]",0,S
5.9,4,"[2.25, 0.74625]",0.075,S
5.95,4,"[2.25, 0.73875]",0.15,S
6.0,4,"[2.25, 0.7275]",0.225,S
6.05,4,"[2.25, 0.7125]",0.3,S
6.1,4,"[2.25, 0.69375]",0.375,S
6.15,4,"[2.25, 0.67125]",0.45,S
6.2,4,"[2.25, 0.645]",0.525,S
6.25,4,"[2.25, 0.615]",0.6,S
