ts,status,currentCoord,speed,orientation
0,1,"[1.5, 1.25]",0,N
0.05,1,"[1.5, 1.25]",0,N
0.1,1,"[1.5, 1.25]",0,N
0.15,1,"[1.5, 1.25]",0,N
0.2,1,"[1.5, 1.25]",0,N
0.25,1,"[1.5, 1.25]",0,N
0.3,1,"[1.5, 1.25]",0,N
0.35,1,"[1.5, 1.25]",0,N
0.4,1,"[1.5, 1.25]",0,N
0.45,1,"[1.5, 1.25]",0,N
0.5,1,"[1.5, 1.25]",0,N
0.55,2,"[1.5, 1.25]",0,N
0.6,3,"[1.5, 1.25]",0,N
0.65,4,"[1.5, 1.25375]",0.075,N
0.7,4,"[1.5, 1.26125]",0.15,N
0.75,4,"[1.5, 1.2725]",0.225,N
0.8,4,"[1.5, 1.2874999999999999]",0.3,N
0.85,4,"[1.5, 1.30625]",0.375,N
0.9,4,"[1.5, 1.3287499999999999]",0.45,N
0.95,4,"[1.5, 1.355]",0.525,N
1.0,4,"[1.5, 1.385]",0.6,N
1.05,4,"[1.5, 1.41875]",0.675,N
1.1,4,"[1.5, 1.45625]",0.75,N
1.15,4,"[1.5, 1.5]",0.825,N
1.2,4,"[1.5, 1.545]",0.9,N
1.25,4,"[1.5, 1.59375]",0.975,N
1.3,4,"[1.5, 1.64625]",1.05,N
1.35,4,"[1.5, 1.75]",1.125,N
1.4,4,"[1.5, 1.81]",1.2,N
1.45,4,"[1.5, 1.86625]",1.125,N
1.5,4,"[1.5, 1.91875]",1.05,N
1.55,4,"[1.5, 2.0]",0.975,N
1.6,4,"[1.5, 2.045]",0.9,N
1.65,4,"[1.5, 2.0862499999999997]",0.825,N
1.7,4,"[1.5, 2.12375]",0.75,N
1.75,4,"[1.5, 2.1574999999999998]",0.675,N
1.8,4,"[1.5, 2.1874999999999996]",0.6,N
1.85,4,"[1.5, 2.2137499999999997]",0.525,N
1.9,4,"[1.5, 2.25]",0,N
1.95,5,"[1.5, 2.25]",0,N
2.0,5,"[1.5, 2.25]",0,N
2.05,5,"[1.5, 2.25]",0,N
2.1,5,"[1.5, 2.25]",0,N
2.15,5,"[1.5, 2.25]",0,N
2.2,5,"[1.5, 2.25]",0,N
2.25,5,"[1.5, 2.25]",0,N
2.3,5,"[1.5, 2.25]",0,N
2.35,5,"[1.5, 2.25]",0,N
2.4,5,"[1.5, 2.25]",0,N
2.45,5,"[1.5, 2.25]",0,N
