batchNo,orderNo,time,pickup,dropoff
1,3,49.88980322,16,9
1,3,53.15778175,4,9
1,3,0,23,9
1,3,13.73023256,40,9
1,3,38.65187835,23,9
1,3,0,53,9
1,3,29.41538462,41,9
1,3,27.8332737,7,9
1,9,0,66,8
1,9,112.4958855,61,8
1,9,115.2615385,49,8
1,9,181.2694097,26,8
1,9,314.6729875,12,8
1,9,76.99463327,54,8
1,9,355.2325581,6,8
1,9,344.518068,13,8
1,9,90.17245081,50,8
1,9,367.0150268,25,8
1,9,291.1774597,28,8
1,16,229.4651163,24,92
1,16,96.04794275,57,92
1,16,174.6962433,50,92
1,16,420.6046512,6,92
1,27,258.0697674,22,97
1,27,114.7674419,35,97
1,27,323.4046512,18,97
1,27,125.0490161,33,97
1,27,177.3266547,31,97
1,27,188.6139535,38,97
1,27,283.2790698,28,97
1,27,300.0518784,37,97
1,27,319.3828265,7,97
1,27,151.4418605,14,97
1,27,321.121288,34,97
1,36,207.106619,14,94
1,36,333.9874776,3,94
1,36,200.5373882,30,94
1,36,549.1434705,5,94
1,36,147.1177102,54,94
1,36,129.8357782,35,94
1,36,82.58676208,57,94
1,36,99.86762075,51,94
1,36,155.2615385,38,94
1,36,267.7810376,13,94
1,46,45.70948122,61,50
1,46,37.56493739,60,50
1,46,310.1545617,15,50
1,46,365.1860465,5,50
1,46,205.2093023,28,50
1,46,114.0772809,49,50
1,46,81.33738819,52,50
1,46,483.7892665,8,50
1,46,88.54525939,52,50
1,46,85.77674419,46,50
1,46,72.5352415,51,50
1,46,94.59892665,54,50
1,46,305.7237925,11,50
1,46,285.2708408,30,50
1,46,416.9069767,17,50
1,57,82.38926655,49,19
1,57,51.90268336,56,19
1,57,83.00465116,57,19
1,57,123.5620751,50,19
1,57,15.78103757,48,19
1,57,233.4132379,24,19
1,57,416.8991055,22,19
1,79,94.17316637,52,73
1,79,317.4096601,5,73
1,79,265.9935599,15,73
1,79,160.8522361,40,73
1,79,109.1012522,57,73
1,79,280.0930233,13,73
1,79,54.25330948,55,73
1,79,107.7137746,45,73
1,79,83.2980322,54,73
1,79,402.3255814,5,73
1,79,191.0225403,14,73
1,116,40.91019678,11,5
1,116,0,57,5
1,116,28.68479428,20,5
