,time,pickup,dropoff
0,0.0,24,1002
1,0.0,11,1002
2,0.0,50,1002
3,0.0,69,1002
4,0.0,28,1002
5,0.0,65,1002
6,0.0,25,1002
7,0.0,62,1002
8,0.0,15,1002
9,0.0,38,1
10,0.0,13,1
11,0.0,59,1003
12,0.0,76,1003
13,0.0,80,1003
14,0.0,10,1003
15,0.0,68,1003
16,0.0,52,1003
17,0.0,53,1003
18,0.0,72,1003
19,0.0,57,1003
20,0.0,34,1003
21,0.0,46,1003
22,0.0,56,1003
23,0.0,48,1003
24,0.0,29,1002
25,0.0,35,1002
26,0.0,6,1003
27,0.0,2,1001
28,0.0,42,1001
29,0.0,21,1001
30,0.0,73,1001
31,0.0,17,1001
32,0.0,3,1001
33,0.0,20,1001
34,0.0,44,1001
35,0.0,64,1001
36,0.0,77,1002
37,0.0,32,1002
38,0.0,39,1001
39,0.0,8,1001
40,10.09302326,30,1003
41,10.65116279,53,1002
42,10.96028623,13,1002
43,11.02182469,57,1003
44,11.11484794,3,1003
45,11.36386404,78,1003
46,11.4568873,16,1002
47,11.70304114,39,1002
48,12.09302326,62,1002
49,12.16815742,59,1003
50,12.18604651,1,1001
51,12.23255814,12,1002
52,12.30912343,24,1003
53,12.44865832,66,1003
54,12.46511628,63,1001
55,12.48014311,69,1002
56,12.619678,31,1002
57,12.63470483,17,1003
58,12.66618962,73,2
59,12.74418605,76,1003
60,12.74418605,41,1002
61,12.80572451,33,1001
62,12.97531306,26,1002
63,12.97674419,35,1002
64,13.17781753,10,1003
65,13.41037567,21,2
66,14.01502683,47,1003
67,14.0765653,27,1002
68,14.47871199,68,1002
69,14.88085868,71,1001
70,14.9137746,20,1002
71,15.09982111,50,1003
72,15.1627907,7,1001
73,15.31735242,80,1003
74,15.34883721,44,1002
75,15.90697674,46,1002
76,15.96851521,51,1
77,16.21466905,55,1001
78,16.27620751,5,1002
79,16.33774597,38,1002
80,21.33094812,14,1001
81,21.95062612,4,1002
82,22.54168157,70,3
83,22.78783542,58,1002
84,23.51699463,62,1002
85,23.5921288,39,3
86,23.61144902,23,1002
87,23.70447227,29,1002
88,24.19964222,9,1003
89,24.21610018,54,1003
90,24.24615385,18,1001
91,24.98747764,59,1001
92,25.64293381,33,2
93,25.86046512,64,1002
94,25.90554562,76,1001
95,25.92200358,1,1003
96,26.15456172,78,1003
97,26.18318426,26,1001
98,26.20107335,73,1001
99,26.2118068,65,1002
100,26.41860465,35,1003
101,26.49516995,15,1003
102,26.58676208,68,1002
103,27.1313059,21,1001
104,27.48407871,20,1003
105,27.59355993,71,1002
106,27.90554562,32,1002
107,28.23255814,12,2
108,28.26261181,79,1001
109,28.26261181,46,1001
110,28.27763864,28,1001
111,28.40214669,42,1002
112,28.54168157,44,1003
113,28.82075134,49,1003
114,29.37602862,37,1001
115,29.73309481,56,1001
116,29.73595707,48,1003
117,30.97674419,7,1001
118,31.15849732,5,1003
119,31.62647585,51,1003
120,34.63184258,62,1002
121,35.66726297,39,1002
122,36.3391771,75,1001
123,36.52522361,70,1001
124,36.6783542,4,1003
125,36.77423971,77,1002
126,36.80143113,25,1003
127,37.20644007,18,1002
128,37.54418605,14,1003
129,37.56207513,9,1002
130,37.62504472,30,1003
131,37.85760286,57,1001
132,38.02576029,59,1003
133,38.21610018,2,1001
134,38.40214669,23,1002
135,38.60322004,63,1003
136,38.83291592,71,1002
137,38.83577818,21,1003
138,39.00536673,53,1002
139,39.23935599,34,1002
140,39.27084079,35,1003
141,39.57567084,65,1002
142,39.87119857,19,4
143,39.90268336,67,1003
144,39.92200358,74,5
145,40.21466905,45,1002
146,40.26118068,16,1003
147,40.64830054,11,1001
148,41.93559928,49,1001
149,42.24042934,5,1001
150,42.81645796,43,1001
151,42.88085868,28,1001
152,43.37745975,32,1003
153,43.48407871,37,1001
154,43.62647585,41,4
155,44.01359571,79,1003
156,44.22969589,51,1001
157,44.55384615,55,1003
158,44.9137746,7,1003
159,45.42397138,47,1001
160,47.33094812,69,1003
161,47.49338104,39,1002
162,48.05438283,10,6
163,48.1667263,62,1003
164,48.48944544,59,1003
165,49.21717352,14,1003
166,49.23649374,21,1003
167,49.38962433,25,1003
168,49.45545617,78,1001
169,49.52915921,4,1002
170,49.64007156,75,1003
171,50.3019678,18,1001
172,50.56887299,71,1002
173,50.58676208,1,1003
174,51.09838998,24,1003
175,51.73309481,33,1002
176,52.11878354,58,1003
177,52.64830054,35,1003
178,52.77280859,63,1003
179,53.29660107,67,1002
180,53.35813953,65,1001
181,53.56207513,30,1001
182,53.60858676,49,1002
183,53.90268336,32,1003
184,54.32271914,53,1001
185,54.34275492,6,1002
186,54.63184258,11,1003
187,55.23649374,28,1002
188,55.29946333,16,1002
189,55.33237925,74,1003
190,55.40465116,44,1001
191,55.65509839,46,1001
192,55.9627907,20,1002
193,56.52522361,8,1002
194,57.11198569,41,1002
195,57.17352415,38,1003
196,57.20644007,52,1001
197,58.07513417,80,1001
198,58.87513417,62,1001
199,59.62504472,47,1003
200,59.87119857,55,1001
201,60.0980322,39,1001
202,60.61109123,17,1003
203,60.61395349,4,1002
204,61.18711986,21,7
205,62.61395349,26,1003
206,63.64794275,13,1001
207,63.88479428,66,1002
208,63.89838998,10,1003
209,64.05724508,32,1003
210,64.46225403,24,1002
211,64.55384615,29,1002
212,64.81932021,1,1001
213,65.71663685,35,1001
214,65.94919499,27,1002
215,66.15026834,50,1002
216,66.77280859,64,1002
217,66.96243292,5,1001
218,67.26797853,33,1003
219,67.52915921,58,1003
220,67.91914132,53,1001
221,68.1667263,12,1002
222,68.18175313,45,1003
223,68.83434705,73,1001
224,68.83434705,15,1003
225,69.86046512,60,1001
226,70.10089445,38,1002
227,70.19534884,43,2
228,70.73989267,42,1003
229,71.62075134,20,1002
230,71.68658318,8,1001
231,72.75348837,56,1002
232,73.23649374,51,1001
233,73.49767442,47,1001
234,74.86046512,67,1002
235,78.93023256,69,1002
236,79.39534884,72,1001
237,83.06547406,45,1001
238,83.0940966,44,1003
239,83.93023256,75,1003
240,84.39534884,77,1001
241,84.7549195,42,1001
242,84.86046512,80,1001
243,88.93023256,1,1003
244,89.39534884,4,1002
245,89.86046512,5,1002
246,93.93023256,8,1003
247,94.39534884,10,1002
248,94.86046512,11,1001
249,95.74382826,43,1002
250,96.08729875,42,1001
251,96.90805009,45,1003
252,98.93023256,13,1003
253,99.39534884,16,5
254,99.86046512,18,1001
255,103.9302326,20,1001
256,104.3953488,21,1001
257,104.8604651,24,6
258,108.9302326,26,1001
259,109.3953488,27,1002
260,109.8604651,29,1002
261,112.6976744,16,7
262,113.9302326,48,1003
263,114.3953488,32,1001
264,114.8604651,34,1001
265,118.9302326,50,1002
266,119.3953488,35,1002
267,119.8604651,37,1002
268,123.9302326,51,1001
269,124.3953488,54,1002
270,124.8604651,39,1003
271,127.231127,33,1002
272,128.9302326,55,1002
273,129.3953488,57,1001
274,129.8604651,59,8
275,133.9302326,62,1001
276,134.3953488,64,1002
277,134.8604651,66,1002
278,138.9302326,67,1002
279,139.3953488,70,1002
280,139.8604651,71,1003
281,143.9302326,48,1002
282,143.9302326,53,1003
283,144.3953488,74,1003
284,144.8604651,76,1001
285,148.9302326,49,1001
286,149.3953488,77,1002
287,149.8604651,79,1002
288,153.9302326,52,1003
289,154.3953488,2,1002
290,154.8604651,4,1001
291,156.7645796,54,1002
292,159.3953488,6,1001
293,159.8604651,8,1003
294,163.9302326,55,1003
295,164.3953488,10,1001
296,164.8604651,11,1002
297,168.9302326,57,1002
298,169.3953488,13,1003
299,169.8604651,16,1001
300,173.9302326,59,1003
301,174.3953488,18,1003
302,174.8604651,19,1002
303,178.9302326,3,1002
304,179.3953488,22,1001
305,179.8604651,23,1002
306,184.3953488,55,1001
307,184.3953488,26,1003
308,184.8604651,27,1001
309,186.5964222,17,1001
310,187.2626118,20,1001
311,189.3953488,30,1002
312,189.8604651,32,1002
313,193.9302326,35,6
314,194.3953488,33,1003
315,194.8604651,61,1003
316,198.9302326,37,1002
317,199.8604651,63,1002
318,203.9302326,40,1001
319,204.3953488,52,1002
320,204.8604651,66,1002
321,206.2243292,36,5
322,208.9302326,41,1003
323,209.8604651,67,1003
324,211.3488372,38,1003
325,213.9302326,43,1003
326,214.3953488,70,4
327,214.8604651,72,1002
328,218.9302326,46,1002
329,219.1860465,40,1001
330,219.3953488,74,1001
331,219.8604651,75,1001
332,223.9302326,57,1002
333,224.3953488,78,1002
334,224.8604651,5,1003
335,228.9302326,60,1003
336,229.3953488,79,1003
337,229.8604651,8,8
338,233.9302326,62,1002
339,234.3953488,2,5
340,234.8604651,9,1002
341,238.9302326,64,1003
342,239.3953488,22,9
343,239.8604651,12,1001
344,243.9302326,66,1001
345,244.3953488,23,1001
346,244.8604651,14,1003
347,248.9302326,68,1003
348,249.3953488,25,1003
349,249.8604651,48,1002
350,253.9302326,53,1002
351,253.9302326,70,1001
352,254.3953488,28,1002
353,254.8604651,71,1003
354,258.9302326,74,1002
355,259.3953488,30,1001
356,259.8604651,76,1003
357,263.9302326,78,1003
358,264.3953488,32,1003
359,264.8604651,80,1003
360,267.8522361,53,1002
361,268.9302326,2,1002
362,269.3953488,50,4
363,269.8604651,4,1003
364,273.9302326,5,1001
365,274.3953488,52,1001
366,274.8604651,7,1002
367,279.3953488,56,1002
368,279.3953488,9,1001
369,279.8604651,11,1003
370,284.3953488,14,1001
371,284.8604651,15,1001
372,288.9302326,57,1003
373,289.3953488,18,1002
374,289.8604651,19,1001
375,293.8125224,55,1002
376,293.9302326,59,1002
377,294.3953488,21,8
378,294.8604651,24,1001
379,298.9302326,61,8
380,299.3953488,25,1001
381,299.8604651,28,1003
382,303.9302326,63,8
383,304.3953488,30,1002
384,304.8604651,32,6
385,308.9302326,65,1002
386,309.3953488,33,1002
387,309.8604651,36,1003
388,313.9302326,67,1003
389,314.3953488,38,10
390,314.8604651,40,1002
391,318.9302326,69,1001
392,319.3953488,42,1003
393,319.8604651,44,1002
394,323.9302326,72,1002
395,324.3953488,46,1001
396,324.8604651,73,1002
397,324.8604651,41,1002
398,328.9302326,75,1002
399,329.3953488,47,1001
400,329.8604651,78,1001
401,333.9302326,44,1003
402,333.9302326,58,1003
403,334.3953488,49,1002
404,334.8604651,45,1003
405,334.8604651,79,5
406,338.9302326,60,10
407,339.3953488,2,1001
408,339.8604651,4,1001
409,343.9302326,61,1002
410,344.3953488,5,1003
411,344.8604651,8,1003
412,348.9302326,64,1002
413,349.3953488,10,5
414,349.8604651,11,1002
415,353.9302326,66,1001
416,354.3953488,14,1002
417,354.8604651,16,1001
418,358.9302326,68,1001
419,359.3953488,18,1
420,359.8604651,19,1001
421,363.9302326,69,1003
422,364.3953488,22,1003
423,364.8604651,24,1003
424,368.9302326,72,1001
425,369.3953488,25,1001
426,369.8604651,28,1001
427,373.9302326,73,1003
428,374.3953488,29,1003
429,374.8604651,32,1003
430,378.9302326,76,1002
431,379.3953488,33,1002
432,379.8604651,36,1002
433,383.9302326,77,1001
434,384.3953488,38,1002
435,384.8604651,40,1003
436,388.9302326,79,1002
437,389.3953488,42,1001
438,389.8604651,44,1002
439,393.9302326,47,1001
440,394.3953488,2,1002
441,394.8604651,46,1003
442,398.9302326,49,6
443,399.3953488,3,1002
444,403.9302326,51,1003
445,404.3953488,6,1002
446,407.8057245,48,1002
447,407.9123435,45,1002
448,408.9302326,53,1001
449,409.363864,50,1002
450,409.3953488,7,1003
451,413.9302326,56,6
452,414.3953488,10,1003
453,414.8604651,12,1003
454,417.1381038,51,1002
455,418.9302326,58,1003
456,419.3953488,13,1002
457,419.8604651,16,7
458,422.7509839,47,1002
459,423.9302326,60,1003
460,424.0601073,49,1002
461,424.3953488,17,1003
462,424.8604651,20,1001
463,428.9302326,62,1001
464,429.3953488,21,1001
465,429.8604651,24,1002
466,433.9302326,64,1003
467,434.3953488,25,1001
468,434.8604651,27,1003
469,437.6647585,47,1002
470,437.8890877,49,1001
471,438.9302326,66,1002
472,439.3953488,29,1003
473,439.8604651,32,1
474,443.9302326,68,1002
475,444.3953488,33,1003
476,444.8604651,36,1002
477,444.8604651,52,1003
478,448.9302326,70,1001
479,449.3953488,71,1001
480,449.8604651,38,1003
481,453.9302326,73,1001
482,454.3953488,76,1002
483,454.8604651,40,9
484,458.9302326,53,1001
485,459.3953488,78,1002
486,459.8604651,79,1003
487,463.9302326,55,1001
488,464.3953488,1,1002
489,464.8604651,3,1001
490,468.9302326,58,1002
491,469.3953488,51,1001
492,469.3953488,5,1001
493,469.8604651,8,1002
494,472.1230769,54,1003
495,473.9302326,59,1003
496,474.3953488,10,1001
497,474.8604651,12,1003
498,478.9302326,61,9
499,479.3953488,14,1001
